Filename,Touches
Carbon/.gitignore,2
Carbon/App.js,2
Carbon/app.json,2
Carbon/assets/adaptive-icon.png,2
Carbon/assets/favicon.png,2
Carbon/assets/icon.png,2
Carbon/assets/splash.png,2
Carbon/babel.config.js,2
Carbon/package-lock.json,2
Carbon/package.json,2
labs/jpacman/Angel_Quintanilla_unitTesting.pdf,1
labs/jpacman/Avery_Nguyen_unitTesting.pdf,1
labs/jpacman/Chris_Catechis_unitTesting.pdf,1
labs/jpacman/David-Weaver_unitTesting.pdf,1
labs/jpacman/ErikRamsey_unitTesting.pdf,1
labs/jpacman/Janeen-Sudiacal_unitTesting.pdf,1
labs/jpacman/Jonas_Snell_unitTesting.pdf,1
labs/jpacman/Miguel_Baniqued_unitTesting.pdf,1
labs/jpacman/adam-velardib_unitTesting.pdf,1
labs/jpacman/erick_serrano_unitTesting.pdf,1
labs/repo_mining/Angel_Quintanilla_CollectFiles.py,1
labs/repo_mining/Angel_Quintanilla_authorsFileTouches.py,1
labs/repo_mining/Angel_Quintanilla_executive_summary.pdf,1
labs/repo_mining/Angel_Quintanilla_scatterplot.py,1
labs/repo_mining/Catechis_executive_summary.pdf,1
labs/repo_mining/David-Weaver_CollectFiles.py,1
labs/repo_mining/David-Weaver_Executive Summary.pdf,1
labs/repo_mining/ErikRamsey_CollectFiles.py,1
labs/repo_mining/ErikRamsey_authorsFileTouches.py,1
labs/repo_mining/ErikRamsey_executive_summary.pdf,1
labs/repo_mining/ErikRamsey_scatterplot.py,1
labs/repo_mining/Janeen-Sudiacal_executive_summary.pdf,1
labs/repo_mining/Janeen_CollectFiles.py,1
labs/repo_mining/Janeen_authorsFileTouches.py,1
labs/repo_mining/Janeen_scatterplot.py,1
labs/repo_mining/Jonas-Snell_CollectFiles.py,1
labs/repo_mining/Jonas_Snell_Executive_Summary.pdf,1
labs/repo_mining/adam-velardib_CollectFiles.py,1
labs/repo_mining/adam-velardib_authorsFileTouches.py,1
labs/repo_mining/adam-velardib_scatterplot.py,1
labs/repo_mining/avery_authorsFileTouches.py,1
labs/repo_mining/avery_executive_summary.pdf,1
labs/repo_mining/avery_nguyen_CollectFiles.py,1
labs/repo_mining/avery_scatterplot.py,1
labs/repo_mining/chris_catechis_CollectFiles.py,1
labs/repo_mining/chris_catechis_authorsFileTouches.py,1
labs/repo_mining/chris_catechis_scatterplot.py,1
labs/repo_mining/data/Figure_1.png,1
labs/repo_mining/data/adam-velardib_rootbeerFile.csv,1
labs/repo_mining/data/adam-velardib_rootbeer_authorTouchesFile.csv,1
labs/repo_mining/data/author_time_backpack.csv,1
labs/repo_mining/data/author_time_rootbeer.csv,1
labs/repo_mining/data/avery_file_rootbeer.csv,1
labs/repo_mining/data/file_authors.csv,1
labs/repo_mining/data/file_backpack.csv,1
labs/repo_mining/data/file_chris_datarootbeer.csv,1
labs/repo_mining/data/file_rootbeer.csv,1
labs/repo_mining/david_authorsFileTouches.py,1
labs/repo_mining/david_scatterplot.py,1
labs/repo_mining/erick-serrano_CollectFiles.py,1
labs/repo_mining/erick-serrano_authorsFileTouches.py,1
labs/repo_mining/erick_serrano_executive_summary-1.pdf,1
labs/repo_mining/erick_serrano_scatterplot.ipynb,1
labs/repo_mining/erick_serrano_scatterplot.py,1
labs/repo_mining/jonas_authorsFileTouches.py,1
labs/repo_mining/jonas_scatterplot.py,1
labs/repo_mining/miguel_authorsFileTouches.py,1
labs/repo_mining/miguel_baniqued_CollectFiles.py,1
labs/repo_mining/miguel_executive_summary.pdf,1
labs/repo_mining/miguel_scatterplot.py,1
Labs,2
jpacman/ErikRamsey_unitTesting.pdf,2
jpacman/Angel_Quintanilla_unitTesting.pdf,6
jpacman/Miguel_Baniqued_unitTesting.pdf,1
jpacman/adam-velardib_unitTesting.pdf,2
jpacman/Chris_Catechis_unitTesting.pdf,2
jpacman/erick_serrano_unitTesting.pdf,4
jpacman,6
jpacman/Janeen-Sudiacal_unitTesting.pdf,4
jpacman/David-Weaver_unitTesting.pdf,2
repo_mining/David-Weaver_CollectFiles.py,3
repo_mining/David-Weaver_Executive Summary.pdf,2
repo_mining/david_authorsFileTouches.py,3
repo_mining/david_scatterplot.py,2
repo_mining/data/file_rootbeer.csv,14
repo_mining/data/namedate_rootbeer.csv,2
jpacman/Avery_Nguyen_unitTesting.pdf,2
jpacman/Jonas_Snell_unitTesting.pdf,5
contributors.txt,35
repo_mining/Angel_Quintanilla_CollectFiles.py,6
repo_mining/Angel_Quintanilla_authorsFileTouches.py,6
repo_mining/Angel_Quintanilla_executive_summary.pdf,11
repo_mining/Angel_Quintanilla_scatterplot.py,6
repo_mining/Catechis_executive_summary.pdf,4
repo_mining/ErikRamsey_CollectFiles.py,5
repo_mining/ErikRamsey_authorsFileTouches.py,5
repo_mining/ErikRamsey_executive_summary.pdf,5
repo_mining/ErikRamsey_scatterplot.py,5
repo_mining/Janeen-Sudiacal_executive_summary.pdf,3
repo_mining/Janeen_CollectFiles.py,3
repo_mining/Janeen_authorsFileTouches.py,3
repo_mining/Janeen_scatterplot.py,3
repo_mining/Jonas-Snell_CollectFiles.py,12
repo_mining/Jonas_Snell_Executive_Summary.pdf,8
repo_mining/adam-velardib_CollectFiles.py,4
repo_mining/adam-velardib_authorsFileTouches.py,4
repo_mining/adam-velardib_scatterplot.py,4
repo_mining/avery_authorsFileTouches.py,7
repo_mining/avery_executive_summary.pdf,7
repo_mining/avery_nguyen_CollectFiles.py,7
repo_mining/avery_scatterplot.py,7
repo_mining/chris_catechis_CollectFiles.py,4
repo_mining/chris_catechis_authorsFileTouches.py,6
repo_mining/chris_catechis_scatterplot.py,6
repo_mining/data/Figure_1.png,3
repo_mining/data/adam-velardib_rootbeerFile.csv,4
repo_mining/data/adam-velardib_rootbeer_authorTouchesFile.csv,4
repo_mining/data/author_time_backpack.csv,8
repo_mining/data/author_time_rootbeer.csv,8
repo_mining/data/avery_file_rootbeer.csv,7
repo_mining/data/file_authors.csv,3
repo_mining/data/file_backpack.csv,8
repo_mining/data/file_chris_datarootbeer.csv,5
repo_mining/jonas_authorsFileTouches.py,8
repo_mining/jonas_scatterplot.py,9
repo_mining/miguel_authorsFileTouches.py,4
repo_mining/miguel_baniqued_CollectFiles.py,4
repo_mining/miguel_executive_summary.pdf,4
repo_mining/miguel_scatterplot.py,4
repo-mining/Janeen-Sudiacal_executive_summary.pdf,4
repo-mining/Janeen_CollectFiles.py,4
repo-mining/Janeen_authorsFileTouches.py,4
repo-mining/Janeen_scatterplot.py,4
repo-mining/data/Figure_1.png,4
repo-mining/data/file_authors.csv,4
repo-mining/data/file_rootbeer.csv,4
repo_mining/erick-serrano_CollectFiles.py,7
repo_mining/erick-serrano_authorsFileTouches.py,7
repo_mining/erick_serrano_executive_summary-1.pdf,5
repo_mining/erick_serrano_scatterplot.ipynb,7
repo_mining/erick_serrano_scatterplot.py,5
repo_mining/data/data/file_chris_datarootbeer.csv,1
repo_mining/output.txt,2
repo_mining/Executive Summary.pdf,1
repo_mining/plot.py,2
repo_mining/chris-catechis_CollectFiles.py,1
LICENSE,1
